 ___ , 516, 521, 522, 523, 524, 525, 526, 527, 412, 413, 420, 431, 560, 435, 565, 3894, 3895, 3896, 3897, 3893, 448, 453, 454, 456, 457, 375, 397, 466, 474, 349, 350, 479, 480, 356, 359, 361, 1523, 372, 373, 374, 605, 3891, 380, 381, 510
516, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, 10610, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x
521, x, x, x, 48, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x
522, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, 64, x, x, x
523, x, x, x, x, x, x, 102, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x
524, x, x, 50, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x
525, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, 76, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x
526, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, 342, x, x, x, x, x, x, x, x, x, x
527, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, 2744, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x
412, x, x, x, x, x, x, x, x, x, x, x, 720, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x
413, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, 58, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x
420, x, 534, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x
431, x, x, x, x, x, x, x, x, x, x, x, x, x, x, 176, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x
560, x, x, x, x, 64, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x
435, x, x, x, x, x, x, x, x, 314, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x
565, x, x, x, x, x, x, x, x, x, x, x, x, 1136, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x
3894, x, x, x, x, x, 24, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x
3895, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, 914, x, x, x, x, x, x, x
3896, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, 856, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x
3897, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, 6006, x
3893, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, 268, x, x, x, x, x, x, x, x, x
448, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, 3592, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x
453, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, 9534, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x
